chrom	start	end	name	repeat_unit_size	color_rgb
chr10_hap1	39690722	39691231	#27:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39691399	39691570	#28:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39691738	39692078	#29:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39692078	39693437	#30:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39693437	39693946	#31:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39694114	39694285	#32:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39694453	39694793	#33:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39694793	39696152	#34:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39696152	39696661	#35:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39696829	39697000	#36:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39697168	39697508	#37:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39697508	39698188	#38:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39698188	39698865	#39:S1C10H1L.1-3_4/8	4	(31, 119, 180)
chr10_hap1	39698865	39699035	#40:S1C10H1L.1	1	(31, 119, 180)
chr10_hap1	39699204	39699372	#41:S1C10H1L.3	1	(31, 119, 180)
chr10_hap1	39699543	39700222	#42:S1C10H1L.5-8	4	(31, 119, 180)
chr10_hap1	39700222	39701578	#43:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39701578	39702427	#44:S1C10H1L.1-5	5	(174, 199, 232)
chr10_hap1	39702595	39702935	#45:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39702935	39704292	#46:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39704292	39705650	#47:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39705650	39707008	#48:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39707008	39707345	#49:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39707345	39708024	#50:S1C10H1L.1_6-8	4	(31, 119, 180)
chr10_hap1	39708024	39708704	#51:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39708704	39710061	#52:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39710061	39710741	#53:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39710741	39712097	#54:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39712097	39712777	#55:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39712777	39714134	#56:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39714134	39715491	#57:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39715491	39716171	#58:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39716171	39717528	#59:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39717528	39718208	#60:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39718208	39719565	#61:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39719565	39720245	#62:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39720245	39721602	#63:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39721602	39722282	#64:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39722282	39723639	#65:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39723639	39724320	#66:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39724320	39725678	#67:S1C10H1L.1-7_6/8	8	(174, 199, 232)
chr10_hap1	39725678	39727035	#68:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39727035	39727715	#69:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39727715	39729072	#70:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39729072	39729752	#71:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39729752	39731109	#72:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39731109	39731789	#73:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39731789	39733146	#74:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39733146	39733826	#75:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39733826	39735179	#76:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39735179	39735859	#77:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39735859	39737216	#78:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39737216	39737896	#79:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39737896	39739250	#80:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39739250	39739930	#81:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39739930	39741287	#82:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39741287	39741967	#83:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39741967	39743320	#84:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39743320	39744000	#85:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39744000	39745357	#86:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39745357	39746037	#87:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39746037	39747394	#88:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39747394	39748074	#89:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39748074	39748754	#90:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39748754	39750111	#91:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39750111	39750791	#92:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39750791	39751471	#93:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39751471	39752828	#94:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39752828	39753508	#95:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39753508	39754188	#96:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39754188	39755545	#97:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39755545	39756225	#98:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39756225	39756905	#99:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39756905	39758262	#100:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39758262	39758942	#101:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39758942	39759622	#102:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39759622	39760979	#103:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39760979	39761659	#104:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39761659	39762339	#105:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39762339	39763696	#106:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39763696	39764376	#107:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39764376	39765056	#108:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39765056	39766412	#109:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39766412	39767769	#110:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39767769	39768448	#111:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39768448	39769806	#112:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39769806	39770486	#113:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39770486	39771843	#114:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39771843	39772523	#115:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39772523	39773541	#116:S1C10H1L.1-3_4/2/4_5_6/8	6	(174, 199, 232)
chr10_hap1	39773541	39774898	#117:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39774898	39775578	#118:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39775578	39776934	#119:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39776934	39777614	#120:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39777614	39778971	#121:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39778971	39779651	#122:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39779651	39781008	#123:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39781008	39781688	#124:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39781688	39783044	#125:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39783044	39783724	#126:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39783724	39785081	#127:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39785081	39785761	#128:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39785761	39787118	#129:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39787118	39787798	#130:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39787798	39789156	#131:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39789156	39790513	#132:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39790513	39791193	#133:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39791193	39792549	#134:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39792549	39793229	#135:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39793229	39794586	#136:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39794586	39795265	#137:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39795265	39796623	#138:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39796623	39797981	#139:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39797981	39799338	#140:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39799338	39800696	#141:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39800696	39801376	#142:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39801376	39802732	#143:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39802732	39803412	#144:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39803412	39804768	#145:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39804768	39805448	#146:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39805448	39806805	#147:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39806805	39807484	#148:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39807484	39808841	#149:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39808841	39809520	#150:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39809520	39810877	#151:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39810877	39811557	#152:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39811557	39812914	#153:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39812914	39813594	#154:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39813594	39814952	#155:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39814952	39816309	#156:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39816309	39816989	#157:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39816989	39818345	#158:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39818345	39819025	#159:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39819025	39820382	#160:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39820382	39821062	#161:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39821062	39822420	#162:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39822420	39823777	#163:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39823777	39824457	#164:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39824457	39825814	#165:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39825814	39826493	#166:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39826493	39827850	#167:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39827850	39828529	#168:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39828529	39829886	#169:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39829886	39830566	#170:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39830566	39831923	#171:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39831923	39832603	#172:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39832603	39833961	#173:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39833961	39835318	#174:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39835318	39835998	#175:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39835998	39837354	#176:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39837354	39838034	#177:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39838034	39839391	#178:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39839391	39840071	#179:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39840071	39841429	#180:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39841429	39842786	#181:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39842786	39843466	#182:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39843466	39844823	#183:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39844823	39845503	#184:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39845503	39846860	#185:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39846860	39847540	#186:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39847540	39848898	#187:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39848898	39849577	#188:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39849577	39850256	#189:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39850256	39851613	#190:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39851613	39852293	#191:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39852293	39853651	#192:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39853651	39854330	#193:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39854330	39855009	#194:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39855009	39856366	#195:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39856366	39856705	#196:S1C10H1L.1-2	2	(31, 119, 180)
chr10_hap1	39856706	39858064	#197:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39858064	39859083	#198:S1C10H1L.1-3_2_5_6/8	6	(174, 199, 232)
chr10_hap1	39859083	39860101	#199:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39860101	39860781	#200:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39860781	39862139	#201:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39862139	39862818	#202:S1C10H1L.1_6-8	4	(31, 119, 180)
chr10_hap1	39862818	39863498	#203:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39863498	39864855	#204:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39864855	39866212	#205:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39866212	39867231	#206:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39867231	39868250	#207:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39868250	39869264	#208:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39869264	39870619	#209:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39870619	39871296	#210:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39871296	39872659	#211:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39872659	39873339	#212:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39873339	39874696	#213:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39874696	39876394	#214:S1C10H1L.1-2_5_2-5_6/2/4_5_6/8	10	(255, 127, 14)
chr10_hap1	39876394	39877750	#215:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39877750	39878430	#216:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39878430	39880127	#217:S1C10H1L.1-5_6/2/4_5-8	10	(255, 127, 14)
chr10_hap1	39880127	39880807	#218:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39880807	39881826	#219:S1C10H1L.1-3_2_5_6/8	6	(174, 199, 232)
chr10_hap1	39881826	39883178	#220:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39883178	39884197	#221:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39884197	39885554	#222:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39885554	39886573	#223:S1C10H1L.1-3_2_5_6/8	6	(174, 199, 232)
chr10_hap1	39886573	39887925	#224:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39887925	39888944	#225:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39888944	39890301	#226:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39890301	39890979	#227:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39890979	39892336	#228:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39892336	39893351	#229:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39893351	39894709	#230:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39894709	39896745	#231:S1C10H1L.1-3_2_5_6/2/4_3-8	12	(255, 127, 14)
chr10_hap1	39896745	39897764	#232:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39897764	39899121	#233:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39899121	39901157	#234:S1C10H1L.1-3_2_5_6/2/4_3-8	12	(255, 127, 14)
chr10_hap1	39901157	39902176	#235:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39902176	39902856	#236:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39902856	39904213	#237:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39904213	39904893	#238:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39904893	39905911	#239:S1C10H1L.1-5_6/8	6	(174, 199, 232)
chr10_hap1	39905911	39907268	#240:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39907268	39907948	#241:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39907948	39909305	#242:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39909305	39910662	#243:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39910662	39911340	#244:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39911340	39912697	#245:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39912697	39913712	#246:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39913712	39915070	#247:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39915070	39917106	#248:S1C10H1L.1-3_2_5_6/2/4_3-8	12	(255, 127, 14)
chr10_hap1	39917106	39918125	#249:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39918125	39919482	#250:S1C10H1L.1-5_6/2/4_5_6/8	8	(174, 199, 232)
chr10_hap1	39919482	39921518	#251:S1C10H1L.1-3_2_5_6/2/4_3-8	12	(255, 127, 14)
chr10_hap1	39921518	39922537	#252:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39922537	39923217	#253:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39923217	39923894	#254:S1C10H1L.1-4	4	(31, 119, 180)
chr10_hap1	39923895	39924575	#255:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39924575	39925594	#256:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39925594	39927122	#257:S1C10H1L.1-5_6/2/4_5-6_7/5	9	(174, 199, 232)
chr10_hap1	39927296	39927971	#258:S1C10H1L.7_8/2_5_6/8	4	(31, 119, 180)
chr10_hap1	39927971	39928990	#259:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39928990	39930008	#260:S1C10H1L.1-5_6/8	6	(174, 199, 232)
chr10_hap1	39930008	39931365	#261:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39931365	39932384	#262:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39932384	39933064	#263:S1C10H1L.1_6/2/4_5_6/8	4	(31, 119, 180)
chr10_hap1	39933064	39934419	#264:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39934419	39935607	#265:S1C10H1L.1-6_7/5	7	(174, 199, 232)
chr10_hap1	39935781	39936456	#266:S1C10H1L.7_8/2_5_6/8	4	(31, 119, 180)
chr10_hap1	39936456	39937474	#267:S1C10H1L.1-5_6/8	6	(174, 199, 232)
chr10_hap1	39937474	39938831	#268:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39938831	39939850	#269:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39939850	39940530	#270:S1C10H1L.1_6/2/4_5_6/8	4	(31, 119, 180)
chr10_hap1	39940530	39941885	#271:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39941885	39943073	#272:S1C10H1L.1-6_7/5	7	(174, 199, 232)
chr10_hap1	39943247	39943922	#273:S1C10H1L.7_8/2_5_6/8	4	(31, 119, 180)
chr10_hap1	39943922	39944941	#274:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39944941	39945621	#275:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39945621	39946979	#276:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39946979	39948336	#277:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39948336	39949016	#278:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39949016	39950372	#279:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39950372	39951052	#280:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39951052	39952409	#281:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39952409	39953089	#282:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39953089	39954447	#283:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39954447	39955804	#284:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39955804	39956484	#285:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39956484	39957841	#286:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39957841	39958521	#287:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39958521	39959878	#288:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39959878	39960558	#289:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39960558	39961916	#290:S1C10H1L.1-6_7/5_6/8	8	(174, 199, 232)
chr10_hap1	39961916	39962595	#291:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39962595	39963275	#292:S1C10H1L.1-2_5_6/8	4	(31, 119, 180)
chr10_hap1	39963275	39964632	#293:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39964632	39964971	#294:S1C10H1L.1-2	2	(31, 119, 180)
chr10_hap1	39964972	39966329	#295:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39966329	39967684	#296:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39967684	39968703	#297:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39968703	39969722	#298:S1C10H1L.1-2_5-8	6	(174, 199, 232)
chr10_hap1	39969722	39970736	#299:S1C10H1L.1-2_5-8	6	(174, 199, 232)
