chr	start	end	het_ratio	het_length
chr2	12299603	12436715	35.4	137112
chr2	12437598	12454814	45.7	17216
chr2	12455647	12601224	38.9	145577
chr2	12603889	12658549	41.7	54660
chr2	12658885	12767167	36.1	108282
chr2	12767580	12956941	45.2	189361
chr2	12956949	13567241	14	610292
chr2	13567470	13571896	48.9	4426
chr2	13572761	13574455	46.3	1694
chr2	13576967	13848725	46.4	271758
chr2	13849099	13922663	44.1	73564
chr2	13923777	14194725	40.9	270948
chr2	14196382	14197193	39.1	811
chr2	14201321	14202516	39	1195
chr2	14202876	14203586	44.7	710
chr2	14204620	14251284	47.5	46664
chr2	14253727	14254608	46.2	881
chr2	14256464	14295081	43.8	38617
chr2	14295576	14297202	46.3	1626
chr2	14298268	14300074	41.9	1806
chr2	14303167	14418722	42	115555
chr2	14419553	14755094	33.3	335541
chr2	14755943	14758615	42	2672
chr2	14758876	14765552	43.4	6676
chr2	14766281	14800394	48	34113
chr2	14800875	14816977	29.3	16102
chr2	14817353	14823313	48.6	5960
chr2	14824200	14855032	48.6	30832
chr2	14856647	14869062	48	12415
chr2	14869327	14871767	48.1	2440
chr2	14871953	14873820	49.1	1867
chr2	14875669	14877786	48.4	2117
chr2	14879428	14880516	48.4	1088
chr2	14883280	14883943	43.5	663
chr2	14884688	14887539	40.3	2851
chr2	14888478	14914394	47.2	25916
chr2	14915796	14917524	44.2	1728
chr2	14921426	14922755	46.5	1329
chr2	14924665	14936601	44.4	11936
chr2	14937163	14992912	34.1	55749
chr2	14993309	15021556	47.1	28247
chr2	15022294	15032027	46.7	9733
chr2	15033657	15055120	39.3	21463
chr2	15058280	15062794	47.3	4514
chr2	15063391	15064771	45.2	1380
chr2	15064972	15065864	42.5	892
chr2	15075547	15078804	43.9	3257
chr2	15079015	15084640	45	5625
chr2	15085199	15090732	48.8	5533
chr2	15090870	15093413	46.2	2543
chr2	15094487	15095254	48.8	767
chr2	15098747	15194431	45	95684
chr2	15194730	15349423	47.6	154693
chr2	15349580	15644300	29.2	294720
chr2	15645158	15674053	45.5	28895
chr2	15674513	15681129	41.2	6616
chr2	15682501	15683977	44.4	1476
chr2	15684688	15691449	45.5	6761
chr2	15692112	15703862	42.6	11750
chr2	15704152	15763877	39.4	59725
chr2	15764683	15920677	49.1	155994
chr2	15921536	15924528	41.1	2992
chr2	15924750	16073722	45.8	148972
chr2	16074251	16075337	42.5	1086
chr2	16078176	16172671	42.2	94495
chr2	16173572	16175422	37.8	1850
chr2	16177681	16178458	50	777
chr2	16179227	16213206	50	33979
chr2	16213341	16297290	40.5	83949
chr2	16298257	16301840	41.7	3583
chr2	16302546	16447970	48	145424
chr2	16448266	16648903	50	200637
chr2	16649187	16672279	40	23092
chr2	16673167	16700910	43.6	27743
chr2	16701496	16716358	43.1	14862
chr2	16716373	16795222	48.8	78849
chr2	16796069	16797135	43.9	1066
chr2	16802131	16803230	50	1099
chr2	16804003	16810748	47.6	6745
chr2	16811110	16838808	50	27698
chr2	16839454	16843459	34.8	4005
chr2	16844523	17069114	38.1	224591
chr2	17070170	17071285	50	1115
chr2	17073652	17237332	43.5	163680
chr2	17238499	17240430	48	1931
chr2	17242172	17250006	47.7	7834
chr2	17250624	17290082	45.5	39458
chr2	17291263	17293360	48.8	2097
chr2	17293854	17294587	46.7	733
chr2	17295364	17301223	47.8	5859
chr2	17302104	17302936	45	832
chr2	17303604	17307696	44.7	4092
chr2	17308178	17310380	41.3	2202
chr2	17310905	17319649	42.5	8744
chr2	17320339	17322092	34.8	1753
chr2	17322134	17525380	36.2	203246
chr2	17526407	17855988	34.4	329581
chr2	17856116	17857278	40.9	1162
chr2	17859961	17896329	38.3	36368
chr2	17897737	17935775	48.3	38038
chr2	17936412	17939515	40.9	3103
chr2	17940727	18015518	41.7	74791
chr2	18015712	18060079	47.3	44367
chr2	18060582	18107841	47.3	47259
chr2	18110262	18111045	44.1	783
chr2	18116791	18117913	49.1	1122
chr2	18118240	18124707	45.3	6467
chr2	18129352	18133628	36.4	4276
chr2	18133833	18136164	41.4	2331
chr2	18136988	18138014	46.6	1026
chr2	18139775	18159518	49	19743
chr2	18160204	18185254	44.6	25050
chr2	18187602	18292196	48	104594
chr2	18294301	18295570	43.4	1269
chr2	18295932	18298822	40.8	2890
chr2	18298999	18301613	42.6	2614
chr2	18302165	18327037	47.2	24872
chr2	18329208	18346800	47.1	17592
chr2	18348049	18370960	50	22911
chr2	18371259	18381828	46.3	10569
chr2	18382622	18389743	45.5	7121
chr2	18390730	18475225	46.7	84495
chr2	18476598	18477898	50	1300
chr2	18478325	18527130	47.1	48805
chr2	18528087	18529438	46.9	1351
chr2	18532230	18536866	42	4636
chr2	18537515	18668010	48.1	130495
chr2	18668104	18726239	22.2	58135
chr2	18726599	18730097	46.3	3498
chr2	18730718	18775651	40	44933
chr2	18776022	18787788	45.2	11766
chr2	18788041	18788604	14.3	563
chr2	18788680	18806198	42.6	17518
chr2	18808826	18953854	46.5	145028
chr2	18954381	18978023	43.1	23642
chr2	18978338	19135455	44.2	157117
chr2	19136289	19168580	45.9	32291
chr2	19169234	19171895	45.3	2661
chr2	19173048	19174690	49	1642
chr2	19175936	19176669	49	733
chr2	19177796	19307288	50	129492
chr2	19308471	19316141	46.5	7670
chr2	19316242	19526952	43.2	210710
chr2	19528352	19538645	40.4	10293
chr2	19538862	19543740	50	4878
chr2	19544202	19624097	41.5	79895
chr2	19626505	19628250	42.9	1745
chr2	19628695	19636757	40.8	8062
chr2	19636986	19643384	38.9	6398
chr2	19644707	19655081	40	10374
chr2	19655848	19656756	41.8	908
chr2	19656986	19659227	41.1	2241
chr2	19660384	19676262	38.6	15878
chr2	19676651	19711842	42.1	35191
chr2	19712485	19757782	35.6	45297
chr2	19757908	19759247	46.9	1339
chr2	19760060	19763923	44.7	3863
chr2	19764605	19767052	47.9	2447
chr2	19768621	19774774	46.5	6153
chr2	19775740	19785150	26.1	9410
chr2	19788003	19809867	47.9	21864
chr2	19810595	19876870	48.1	66275
chr2	19877139	19883815	43.1	6676
chr2	19884319	19912147	45.3	27828
chr2	19912670	19934998	43.1	22328
chr2	19935256	20160471	43.6	225215
chr2	20161394	20222234	46.7	60840
chr2	20222362	20454658	38.6	232296
chr2	20455225	20499277	50	44052
chr2	20499773	20506233	47.5	6460
chr2	20506443	20514141	44.1	7698
chr2	20514227	20518219	33.3	3992
chr2	20518744	20523094	46.4	4350
chr2	20523952	20536706	48.3	12754
chr2	20536971	20552804	50	15833
chr2	20553477	20577311	43.4	23834
chr2	20578105	20592333	46.9	14228
chr2	20593089	20597563	39.2	4474
chr2	20598307	20677122	46.7	78815
chr2	20678505	20708679	45.6	30174
chr2	20709089	20919713	48.8	210624
chr2	20919729	20921904	42.4	2175
chr2	20922367	20927644	36.4	5277
chr2	20928088	20944465	46.2	16377
chr2	20944475	20969069	45.1	24594
chr2	20969767	21006588	44.4	36821
chr2	21007022	21022917	44.6	15895
chr2	21023531	21223962	38.5	200431
chr2	21224343	21225262	47.1	919
chr2	21225891	21242165	45.5	16274
chr2	21243400	21244559	41.3	1159
chr2	21244905	21246364	43.4	1459
chr2	21246820	21248670	48.2	1850
chr2	21249021	21253155	49.1	4134
chr2	21253710	21259428	48.2	5718
chr2	21260528	21283925	48	23397
chr2	21284291	21323593	48.9	39302
chr2	21324325	21325246	47.9	921
chr2	21325796	21332529	48.9	6733
chr2	21332640	21388155	39.7	55515
chr2	21388816	21415152	48.9	26336
chr2	21415568	21419501	42.6	3933
chr2	21420448	21421872	41.7	1424
chr2	21423073	21819126	43.8	396053
chr2	21819872	21821678	47.7	1806
chr2	21824337	22367308	43.9	542971
chr2	22369743	22371523	36	1780
chr2	22371816	22384829	37.5	13013
chr2	22385277	22408835	13.2	23558
chr2	22409365	22486307	48.6	76942
chr2	22486680	22552797	47.7	66117
chr2	22553093	22650993	46.9	97900
chr2	22652524	22716812	42.9	64288
chr2	22716855	22725686	47.7	8831
chr2	22725694	22772927	47.8	47233
chr2	22773413	22779525	40.5	6112
chr2	22779549	22818082	39.2	38533
chr2	22818738	22828312	39.5	9574
chr2	22828791	22840461	47.4	11670
chr2	22841219	22848911	49.1	7692
chr2	22849532	23049185	42	199653
chr2	23049883	23059663	47.4	9780
chr2	23060603	23062434	46	1831
chr2	23062577	23113870	44.9	51293
chr2	23114335	23144630	45.1	30295
chr2	23145801	23146863	40.5	1062
chr2	23147505	23258617	42.2	111112
chr2	23259310	23447750	43.5	188440
chr2	23448239	23466071	46.9	17832
chr2	23466417	23469101	38.5	2684
chr2	23469438	23473288	43.3	3850
chr2	23475743	23477522	41.2	1779
chr2	23477978	23533247	45	55269
chr2	23533630	23551189	46	17559
chr2	23552016	23591616	42.2	39600
chr2	23592643	23675849	50	83206
chr2	23676760	23703614	48.9	26854
chr2	23703732	23705976	34.5	2244
chr2	23706064	23732809	31.2	26745
chr2	23733347	23842900	42.6	109553
chr2	23843264	24183753	46.3	340489
chr2	24183967	24444909	42.9	260942
chr2	24445556	24452011	40	6455
chr2	24452349	24476079	41.7	23730
chr2	24476758	24867174	40.5	390416
chr2	24867587	25054972	41	187385
chr2	25054977	25158181	27	103204
chr2	25158974	25270185	43.9	111211
chr2	25270608	25408603	40.5	137995
chr2	25408890	25542503	40.4	133613
chr2	25542838	25553454	46	10616
chr2	25553511	25570233	48.3	16722
chr2	25571107	25735556	38.1	164449
chr2	25736126	25740350	45.9	4224
chr2	25740666	25952421	40.5	211755
chr2	25952441	26216228	17.1	263787
chr2	26216972	26227548	48.8	10576
chr2	26228367	26254330	47.1	25963
chr2	26254699	26271694	42.3	16995
chr2	26271712	26451053	33.3	179341
chr2	26451589	26515465	42.6	63876
chr2	26515719	26536213	41.7	20494
chr2	26536659	26543341	42.9	6682
chr2	26543920	26554928	46.9	11008
chr2	26555655	26595906	42.9	40251
chr2	26596812	26830884	38.6	234072
chr2	26832772	28170968	44.2	1338196
chr2	28171690	28182396	48.8	10706
chr2	28182601	28239543	32.1	56942
chr2	28239610	28396346	50	156736
chr2	28398136	28503074	12.5	104938
chr2	28503214	28640228	46.3	137014
chr2	28640656	28674866	47.2	34210
chr2	28676258	28678636	46.2	2378
chr2	28680811	28681688	49.2	877
chr2	28682905	28685933	48.4	3028
chr2	28688238	28696805	48.3	8567
chr2	28697275	28867343	45.8	170068
chr2	28867636	28908542	32.5	40906
chr2	28909066	28951052	38.9	41986
chr2	28952071	28962775	43.8	10704
chr2	28963573	28994558	34.7	30985
chr2	28994931	28995681	41.9	750
chr2	28997977	29026535	47.1	28558
chr2	29026808	29030633	45.9	3825
chr2	29031005	29034297	34.1	3292
chr2	29034490	29093043	39	58553
chr2	29093729	29096277	43.6	2548
chr2	29097639	29101357	41.9	3718
chr2	29101357	29102383	45	1026
chr2	29105570	29109339	45.1	3769
chr2	29136343	29136866	48.8	523
chr2	29137898	29138721	46.3	823
chr2	29183615	29184206	41	591
chr2	29200986	29202511	47.4	1525
chr2	29232711	29233954	44.6	1243
chr2	29236954	29238536	47.8	1582
chr2	29244202	29244666	36.6	464
chr2	29254872	29256456	43.6	1584
chr2	29260239	29261162	48.7	923
chr2	29314264	29315389	47.8	1125
chr2	29324828	29325743	47.8	915
chr2	29354446	29355939	49.1	1493
chr2	29500199	29501058	44.8	859
chr2	29516242	29519997	45.8	3755
chr2	29520775	29521474	44	699
chr2	29522131	29523916	45.3	1785
chr2	29535224	29537003	50	1779
chr2	29550888	29552527	46	1639
chr2	29613489	29614116	45.6	627
chr2	29716507	29719163	45.2	2656
chr2	29845632	29846109	39	477
chr2	29862140	29862759	42.1	619
chr2	29874464	29875239	31	775
chr2	29938212	29940243	50	2031
chr2	29972726	29974141	43.4	1415
chr2	29975584	29976160	50	576
chr2	29976795	29979704	49	2909
chr2	30005836	30006723	46.8	887
